"Mom_ID","Pop","n_Seeds","h_Pollen_Pool","Bootstrap_SE","Year"
"10A_2016","10",9,0.487563379031182,0.0417142113358734,"2016"
"10B_2016","10",11,0.448524501210452,0.0403485703626571,"2016"
"10C_2016","10",17,0.46271887473956,0.02567503399785,"2016"
"10D_2016","10",14,0.438011114923292,0.0303509653008468,"2016"
"10E_2016","10",13,0.385948204424953,0.0334308763623722,"2016"
"12A_2013","12",9,0.570275954649763,0.0449269313669755,"2013"
"12A_2016","12",12,0.497342901897495,0.0323845623819518,"2016"
"12C_2013","12",5,0.461212121212121,0.0793889166246609,"2013"
"12C_2016","12",12,0.410901973012201,0.0231029610726264,"2016"
"12D_2016","12",14,0.521813168573034,0.0349663019140858,"2016"
"12E_2013","12",10,0.510625644197073,0.0313789610621499,"2013"
"12E_2016","12",12,0.438001730412445,0.027544189947016,"2016"
"15A_2013","15",11,0.320126630195691,0.0424914546578007,"2013"
"15B_2013","15",10,0.265349361382419,0.0337049573070234,"2013"
"16A_2013","16",10,0.509573575749672,0.0320273385186145,"2013"
"16A_2016","16",15,0.464252526817818,0.0259348148138094,"2016"
"16B_2013","16",11,0.554215774887859,0.02897404856157,"2013"
"16B_2016","16",13,0.551540726379707,0.0270321814909436,"2016"
"16C_2013","16",11,0.524075705279379,0.0227105506484428,"2013"
"16C_2016","16",14,0.542580185457791,0.0365269748543717,"2016"
"16D_2013","16",7,0.485660946196661,0.0429402968338858,"2013"
"16E_2016","16",13,0.585837531197383,0.0292390085633543,"2016"
"19C_2013","19",8,0.360698931463394,0.0399989123872573,"2013"
"19D_2013","19",9,0.489541929421898,0.0236605416976835,"2013"
"19E_2013","19",5,0.376840513983371,0.0440863112255373,"2013"
"22D_2013","22",10,0.316816272770621,0.0327059258261118,"2013"
"22E_2013","22",12,0.328770623528896,0.0439060488241521,"2013"
"23A_2013","23",5,0.264163832199546,0.0514868379175176,"2013"
"23B_2013","23",9,0.388451178451178,0.0239710655840012,"2013"
"23D_2013","23",9,0.277709881180956,0.0352947955612781,"2013"
"24A_2016","24",14,0.477101773633367,0.0255988079923287,"2016"
"24B_2013","24",8,0.457587525855432,0.0442279745865723,"2013"
"24B_2016","24",12,0.463770960032855,0.0276865628802208,"2016"
"24C_2013","24",11,0.478900576008014,0.0287940243987152,"2013"
"24C_2016","24",14,0.517115730461826,0.0325326197775261,"2016"
"24D_2013","24",11,0.443296602387512,0.0268027214457875,"2013"
"24D_2016","24",12,0.474726837048001,0.027326641900999,"2016"
"24E_2016","24",6,0.435449134199134,0.0616321555538855,"2016"
"27A_2013","27",11,0.480466403645497,0.0305033242782567,"2013"
"27A_2016","27",11,0.516084545214387,0.0333502098589757,"2016"
"27B_2016","27",10,0.509265656542471,0.0287601417636021,"2016"
"27C_2013","27",7,0.431953463203463,0.0518441100336912,"2013"
"27D_2013","27",11,0.408393720831283,0.0329845081736636,"2013"
"27D_2016","27",8,0.4240544332211,0.0521031797879105,"2016"
"27E_2013","27",9,0.447155553681528,0.0398473856934232,"2013"
"27E_2016","27",11,0.474689070964505,0.0343266713192208,"2016"
"28B_2013","28",11,0.439686364352607,0.0352300804880797,"2013"
"28B_2016","28",5,0.389499072356215,0.0462959381284819,"2016"
"28C_2016","28",11,0.483419248838378,0.0281576663609667,"2016"
"28D_2013","28",10,0.420514062824934,0.0313511205566648,"2013"
"28D_2016","28",8,0.512953314322362,0.0558365226452803,"2016"
"28E_2013","28",10,0.38168294515402,0.0427786567468128,"2013"
"28E_2016","28",10,0.465212687360123,0.0361997507177115,"2016"
"29A_2013","29",11,0.455293929070153,0.032388039159144,"2013"
"29A_2016","29",5,0.558783297830917,0.103272249362218,"2016"
"29B_2016","29",11,0.525627302307774,0.0369884431527242,"2016"
"29C_2013","29",10,0.501685217374982,0.0288048639838005,"2013"
"29C_2016","29",11,0.43397988145922,0.0432325227526013,"2016"
"29D_2013","29",6,0.525149453720882,0.0584837678688042,"2013"
"29D_2016","29",10,0.475876108018965,0.0338054777426884,"2016"
"29E_2013","29",7,0.455994897959184,0.0502492865308042,"2013"
"29E_2016","29",10,0.491596866236318,0.0434370452879213,"2016"
"31A_2016","31",13,0.521742816478393,0.0288515923686043,"2016"
"31B_2016","31",11,0.526933948279412,0.032145191624341,"2016"
"31D_2016","31",14,0.568624321942651,0.0314317795355345,"2016"
"31E_2016","31",13,0.497365206168287,0.029524063844862,"2016"
"32A_2016","32",12,0.483712530849756,0.0330455901260433,"2016"
"32B_2016","32",12,0.562019177403793,0.0355305598334647,"2016"
"32C_2013","32",10,0.554315895920329,0.0264993209509701,"2013"
"32C_2016","32",12,0.582633993753499,0.0297360781859256,"2016"
"32D_2013","32",10,0.571672515148748,0.029679113478917,"2013"
"32D_2016","32",10,0.587907422989591,0.0331435671166937,"2016"
"32E_2013","32",11,0.547862523089995,0.0229064402754245,"2013"
"32E_2016","32",14,0.529887542927836,0.0211219054631262,"2016"
"33B_2013","33",10,0.591491640227904,0.0313715734462861,"2013"
"33D_2013","33",6,0.35237579880437,0.0319929560880795,"2013"
"35A_2013","35",10,0.531346900962286,0.0415784004647967,"2013"
"35B_2013","35",10,0.552732131288121,0.037118138864429,"2013"
"35C_2013","35",10,0.591616134448302,0.0335173480323786,"2013"
"35C_2016","35",10,0.62060891406576,0.040027291977199,"2016"
"35D_2013","35",10,0.575999580395185,0.039909214205815,"2013"
"35D_2016","35",19,0.602633199475776,0.0186476541099923,"2016"
"35E_2013","35",10,0.487127475698904,0.0206614035249828,"2013"
"36A_2013","36",10,0.492476639345679,0.0296261469105538,"2013"
"36A_2016","36",5,0.448014842300557,0.0640471985595349,"2016"
"36B_2013","36",5,0.526213151927438,0.0660077137154545,"2013"
"36B_2016","36",12,0.460444990238962,0.0374672034716909,"2016"
"36C_2013","36",7,0.451406000987367,0.0397785103781527,"2013"
"36C_2016","36",11,0.418104628256143,0.0519840537403984,"2016"
"36D_2013","36",10,0.503156196403567,0.0313933176470018,"2013"
"36E_2016","36",13,0.543986272046025,0.037084098240409,"2016"
"37A_2013","37",9,0.441732988894161,0.0351041322184813,"2013"
"37B_2013","37",5,0.346367243867244,0.0355654488389589,"2013"
"37C_2013","37",5,0.247734230055659,0.0284638571677106,"2013"
"38A_2013","38",13,0.366630213498345,0.0426418578038408,"2013"
"38B_2013","38",5,0.269090909090909,0.0723604833933016,"2013"
"39B_2013","39",9,0.535847665476824,0.0370383750419735,"2013"
"39B_2016","39",11,0.515953965004914,0.0447396952782985,"2016"
"39C_2013","39",5,0.448059735678783,0.0625695791514967,"2013"
"39C_2016","39",21,0.424969699556977,0.0235919385113026,"2016"
"39D_2013","39",5,0.504781144781145,0.0730214590399936,"2013"
"39E_2013","39",5,0.416272933415791,0.0547060682608761,"2013"
"40A_2016","40",16,0.533621608730101,0.028304728657157,"2016"
"40B_2016","40",6,0.494552469135802,0.0541805158555149,"2016"
"40C_2016","40",11,0.4955002111482,0.044742823478111,"2016"
"40D_2016","40",9,0.55736672278339,0.0458127433265971,"2016"
"40E_2016","40",11,0.502370849134795,0.0316751886090732,"2016"
"49B_2013","49",5,0.297200577200577,0.067840395785513,"2013"
"49D_2013","49",5,0.348686868686869,0.0708363078640983,"2013"
"49E_2013","49",10,0.420539405649296,0.038473110357057,"2013"
"50A_2013","50",6,0.516273849607183,0.0623613103865427,"2013"
"50A_2016","50",6,0.399202484023913,0.0383865181045111,"2016"
"50B_2016","50",19,0.456814986415588,0.0255850523962455,"2016"
"50C_2013","50",13,0.436474765737586,0.027928595932148,"2013"
"50D_2016","50",11,0.487291616961833,0.0574891418701554,"2016"
"50E_2013","50",19,0.398577742582182,0.0296825303599027,"2013"
"50E_2016","50",10,0.466006944444444,0.0370844768084524,"2016"
"52A_2013","52",8,0.377726194451401,0.0662522249041944,"2013"
"52B_2013","52",11,0.308966295059747,0.0523546185804767,"2013"
"52C_2013","52",10,0.343037816178312,0.0367578717316547,"2013"
"52D_2013","52",5,0.283232323232323,0.111087584775472,"2013"
"52E_2013","52",10,0.318090237797803,0.0458354358465064,"2013"
"55A_2013","55",6,0.364911616161616,0.0371886215259578,"2013"
"55B_2013","55",10,0.483227413451366,0.0387659160207272,"2013"
"55D_2013","55",10,0.436850880932708,0.049592550299784,"2013"
"55E_2013","55",5,0.387216295609153,0.0418469274881844,"2013"
"56A_2016","56",11,0.525656983053677,0.0366453334144724,"2016"
"56B_2016","56",10,0.41209992486852,0.0369738683363732,"2016"
"56C_2016","56",11,0.424327261270148,0.0347960676747753,"2016"
"58A_2013","58",11,0.446047847146748,0.0263126319328311,"2013"
"58A_2016","58",9,0.558524456016093,0.0457793342437787,"2016"
"58B_2013","58",10,0.480065995669937,0.0246327362895865,"2013"
"58B_2016","58",10,0.50922762983369,0.034899994174707,"2016"
"58C_2013","58",11,0.49776729975614,0.0369606734920729,"2013"
"58D_2013","58",11,0.53227457947241,0.031155718317921,"2013"
"58D_2016","58",11,0.482056782184685,0.0291955918741308,"2016"
"58E_2013","58",7,0.483294266241433,0.0533100254306057,"2013"
"58E_2016","58",11,0.524144741848203,0.0396858201856918,"2016"
"59A_2013","59",11,0.377883711461043,0.0273771811365558,"2013"
"59B_2013","59",11,0.320013800192003,0.0308915642010736,"2013"
"59C_2013","59",11,0.311479013476987,0.0517778891065433,"2013"
"59D_2013","59",8,0.346437991021324,0.0376007513839438,"2013"
"60A_2013","60",7,0.266813543599258,0.0482544550865924,"2013"
"60B_2013","60",10,0.38342783176722,0.0293366579139249,"2013"
"60C_2013","60",6,0.357034775189537,0.0681028397060588,"2013"
"60D_2013","60",5,0.304691358024691,0.037372865519476,"2013"
"62A_2016","62",16,0.487807463485268,0.0211871812204325,"2016"
"62C_2016","62",11,0.479853237385249,0.035909932490516,"2016"
"62E_2016","62",11,0.507907315466929,0.0298423033952605,"2016"
"63A_2013","63",11,0.488375310145638,0.0270946470370566,"2013"
"63A_2016","63",13,0.478007202402807,0.0249201503892765,"2016"
"63B_2013","63",10,0.534955008361602,0.040286179788068,"2013"
"63B_2016","63",15,0.440716347505999,0.029748854176346,"2016"
"63C_2013","63",10,0.520855120721618,0.0257577926699616,"2013"
"63C_2016","63",5,0.466060606060606,0.0850146505827869,"2016"
"63D_2013","63",5,0.442197485054628,0.0680055843057793,"2013"
"63E_2013","63",8,0.508380144035209,0.0288980660314365,"2013"
"63E_2016","63",10,0.508563712165366,0.0262488769837994,"2016"
