"Patch","Area_ha","Percent_Forest","Elevation","VISA","GREH","LBIH","CHRH","GCBR","RTAH","SBRH","SNOB","STHR","Total_Hummingbirds","Total_Hummingbirds_Correction","High_Mobility_Hummingbirds","High_Mobility_Hummingbirds_Correction","Proportion_High_Mobility","Proportion_High_Mobility_Correction","SE_High_Mobility"
10,3.16,7.8,1228.75,2,6,0,0,0,16,0,2,5,31,35,8,10,0.258064516129032,0.285714285714286,0.0739627747382079
11,2.76,8.71,1135.63,0,9,0,0,0,3,0,0,2,14,18,9,11,0.642857142857143,0.611111111111111,0.112938487863156
16,1358.94,74.47,1491.59,14,3,0,0,7,2,0,0,0,26,30,17,19,0.653846153846154,0.633333333333333,0.086858383004894
19,110.27,70.3,1218.56,1,8,0,0,0,6,0,0,3,18,22,9,11,0.5,0.5,0.106600358177805
32,882.94,48.21,1446.21,11,14,0,0,3,6,0,0,0,34,38,25,27,0.735294117647059,0.710526315789474,0.0715682740282776
33,364.62,65.89,1186.18,0,16,0,0,0,4,0,0,3,23,27,16,18,0.695652173913043,0.666666666666667,0.0885521873421418
35,246.47,52.48,1373.92,2,7,0,0,1,0,0,0,2,12,16,9,11,0.75,0.6875,0.108253175473055
40,95.28,42.09,910.8,0,14,0,1,0,3,1,0,1,20,24,14,16,0.7,0.666666666666667,0.0935414346693485
49,4.86,18.46,985.64,0,9,0,0,0,9,1,0,5,24,28,9,11,0.375,0.392857142857143,0.091490631838925
50,3.18,19.14,1141.41,0,5,0,1,0,5,0,0,4,15,19,5,7,0.333333333333333,0.368421052631579,0.108147614087175
56,15.97,45.58,1135.15,4,9,0,0,7,3,0,1,1,25,29,13,15,0.52,0.517241379310345,0.0927733612182082
58,8.8,21.67,1371.38,3,11,0,0,1,5,0,0,3,23,27,14,16,0.608695652173913,0.592592592592593,0.0939237782377951
60,1.69,24,1110.79,5,1,0,0,0,6,0,0,2,14,18,6,8,0.428571428571429,0.444444444444444,0.116642368703961
63,1035.52,62.87,945.18,3,4,13,2,1,3,1,0,13,40,44,20,22,0.5,0.5,0.0753778361444409
